epoch,acc,loss,val_acc,val_loss
0,0.3391719283879026,0.07546229257714897,0.33918530577568656,0.07363884576159059
1,0.3391723870276536,0.07243291583211572,0.3392276304942246,0.07246987312341964
2,0.3391839489283624,0.07173090719308534,0.33930240935668504,0.07140977667527802
3,0.33922912784658105,0.07118047534157337,0.3391729250220181,0.07096481046497916
4,0.339183772266437,0.07087459520699037,0.33924133619304286,0.07083590589442276
5,0.33914444151598466,0.07070409517281014,0.33931565397473695,0.07044740460981305
6,0.33920329999311544,0.07043715341264574,0.33919595951435205,0.07036146099659882
7,0.33925079143637205,0.07032443269020705,0.3391974593788145,0.07027193130116151
8,0.33920987433885014,0.0701310507297901,0.3391306304294612,0.07008545188167882
9,0.33916463353751514,0.06999207319530841,0.33916235230091457,0.07016508118570991
10,0.3391447027971576,0.06994693987054545,0.33915843136428553,0.06998740490424148
11,0.3391562601344929,0.06980240426103448,0.3391503115196394,0.07014228501938545
12,0.3392123256991844,0.06963497294134653,0.3391629955908166,0.06975001445636518
13,0.339178147334584,0.06966670194231181,0.3391471890854822,0.06996192529280987
14,0.33916382661848793,0.06952143951894671,0.3391526177465504,0.07032676360471296
15,0.3391824822314155,0.06948129142469169,0.3392490602223796,0.06982252162305683
16,0.3392266974790507,0.06941682336846418,0.3391639781736429,0.06995953202997286
17,0.339147903330947,0.0694854971475822,0.3391740412844647,0.06969461525226134
18,0.33913997044100197,0.06941690165243183,0.3390969143809603,0.06966075651099535
19,0.3391696156017228,0.06937547716647736,0.339244289690215,0.0697943899699865
20,0.3391508346164151,0.06931296562294412,0.3391450659936708,0.06963153339448729
21,0.33917279185467886,0.06930177867790169,0.3392153034293199,0.0693919827847584
22,0.3392053688996006,0.06926382979335056,0.3391178433512208,0.06976695087796207
23,0.33917504772086643,0.06918564135229088,0.3391766379918513,0.06966533638955971
24,0.3391514355563253,0.06916338210392459,0.3391963641070284,0.06945155922849143
25,0.3391991630775299,0.06913168281119382,0.339247629050727,0.06949115426226554
26,0.3391747612450422,0.06897174993603686,0.3392181039688159,0.0693944757461325
27,0.33919847032571826,0.06911090503134709,0.33911402739575874,0.06920265340218396
28,0.339187521716822,0.06896820760096806,0.33912003406412444,0.06957232659981105
29,0.3391149237774824,0.06896305975312561,0.3390505575329511,0.06948171575970077
30,0.33917162614461216,0.06886334145231059,0.33933850556131884,0.06911906665534004
31,0.33919805182429125,0.06889934736384543,0.33909842781122385,0.0692150877040872
32,0.33926356897561155,0.06882078125518269,0.33917878813810126,0.06918553906287656
33,0.3391505051197039,0.06894036115056613,0.33913078486182063,0.06968606638245743
34,0.33920012703319025,0.06892325538419555,0.3392138501224124,0.0691810360726803
35,0.3391643579867799,0.06890239273213132,0.3392155403410641,0.06912553078608569
36,0.3391992899903254,0.06882065826072063,0.3391379455556735,0.06899019709310812
37,0.33916702960579614,0.06884720320595442,0.33914131103608636,0.06916594183111566
38,0.3391357930173499,0.06878398543670823,0.33918964243799415,0.06879670348061813
39,0.3391669950650531,0.06884477131167305,0.3391459454236803,0.06916230280738392
40,0.3392257451408089,0.06871238626000455,0.3391392000911219,0.06899447435667466
41,0.33908239611516316,0.06875694329324519,0.339197633395741,0.06969161367435565
42,0.33924220979719566,0.06870811089248502,0.33917263289109745,0.06877156285332223
43,0.3391587706286307,0.06865752233042463,0.3392533682934057,0.06901577417202877
44,0.3392006290442799,0.06861795820645905,0.33914475737330346,0.06908330212010154
45,0.3392247956697688,0.06861071014989562,0.3392279961321104,0.069108457157712
46,0.33924886357077794,0.06869720483555465,0.3391892677805332,0.0691029987939911
47,0.33920848144966387,0.06873300168383724,0.3391716470438194,0.06933478136952555
48,0.3391624594698144,0.06872337652848319,0.3391617937752992,0.06948362600371259
49,0.3392098748961433,0.06871056802058002,0.3391879149128536,0.0692411824163013
